x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
2,2,0.12,2.52,427,2.09,2.91,0.62,22.43,4.38,60.08,4.57,0.13,0.93,12.1
2,2,0.36,1.94,408,1.74,2.89,1,22.02,5.29,61.11,3.98,0.09,0.88,12.1
2,2,0.31,1.85,411,1.76,2.81,1,22.11,5.29,61.3,3.97,0.09,0.89,12.6
7,2,0.36,2.48,432,3.64,2.88,0.84,19.88,4.3,62.41,3.49,0.1,0.84,12.7
7,3,0.36,2.4,416,3.33,2.84,0.84,19.72,4.22,62.14,3.51,0.1,0.91,12.9
8,3,0.2,2.1,418,4.23,2.86,0.84,19.75,3.99,62.35,3.98,0.1,2.34,13
6,2,0.16,2.07,419,3.56,2.83,0.6,19.92,4.27,62.85,4.01,0.12,0.73,13.2
2,2,0.22,1.83,420,1.76,2.91,1.02,22.01,5.13,61.41,4.01,0.09,0.9,13.2
2,2,0.26,1.71,422,1.55,2.82,0.92,22.01,4.79,61.91,3.94,0.07,0.99,13.2
2,2,0.26,1.92,418,1.74,2.85,0.96,22.17,5.28,61.32,3.98,0.09,0.94,13.4
1,2,0.27,1.74,417,2.08,2.89,0.84,21.87,3.74,60.91,4.9,0.13,1.15,13.7
1,2,0.29,1.64,412,1.88,2.96,0.96,22.28,5,60.98,4.1,0.1,0.95,13.7
2,2,0.36,1.97,411,1.48,2.91,0.86,21.64,4.81,62.21,3.88,0.06,0.91,13.7
8,3,0.15,1.9,421,3.97,3.24,0.76,19.88,3.96,62.37,3.97,0.05,0.69,13.8
7,3,0.23,2.5,426,3.73,2.97,0.64,19.51,4.06,63.7,3.8,0.03,0.78,13.9
8,3,0.2,3.7,412,4.1,2.77,0.72,19.61,4,62.61,3.93,0.05,0.65,13.9
7,3,0.28,1.8,446,3.69,2.97,0.76,19.77,4.05,63.07,3.67,0.03,0.89,14.1
10,3,0.18,2,417,3.63,2.96,0.83,20.06,4.98,63.21,3.06,0.04,0.85,14.1
8,3,0.22,2.5,406,4.07,2.94,0.71,19.7,3.89,62.76,4,0.04,0.86,14.3
8,3,0.21,2.18,446,3.53,2.88,0.84,19.48,4.32,62.49,3.67,0.1,0.61,14.3
10,3,0.19,2.31,407,3.77,2.86,0.84,19.72,4.75,63.01,3.26,0.03,0.97,14.3
7,2,0.01,1.7,440,3.55,2.88,0.77,19.75,3.95,63.26,3.7,0.03,0.91,14.4
6,3,0.24,1.84,385,2.56,3,0.84,19.88,4.44,62.38,3.72,0.1,0.88,14.5
7,3,0.39,2.1,441,3.53,2.95,0.64,19.52,4.14,63.81,3.79,0.03,0.78,14.5
10,3,0.19,2.3,414,3.72,2.99,0.8,19.64,4.53,62.93,3.37,0.03,0.99,14.5
4,3,0.39,2.72,378,3.57,2.93,0.67,20.18,4.32,62.89,3.83,0.04,0.95,14.5
7,2,0.23,2,430,4.05,2.85,0.84,19.55,3.95,62.83,3.79,0.1,0.7,14.6
8,3,0.15,2.64,425,3.46,2.94,0.75,19.58,4.61,63.74,3.4,0.04,0.79,14.6
9,3,0.16,1.82,413,3.86,2.96,0.81,19.89,4.92,63.16,3.07,0.04,0.82,14.6
10,3,0.2,2.1,393,3.51,3.05,0.82,19.24,4.65,62.22,3.17,0.03,0.96,14.6
7,3,0.1,2.5,379,3.38,2.82,0.84,19.75,4.25,62.6,3.69,0.1,0.84,14.7
